Name
SMARTS
oxidative_cleavage_alkene_1	[C+0:1]=!@[C+0:2].[O+0:4]=[O+0:5]>>[*:1]=[*:4].[*:2]=[*:5]
oxidative_cleavage_alkene_2	[C+0:1]=@[C+0:2].[O+0:4]=[O+0:5]>>([*:1]=[*:4].[*:2]=[*:5])
ring_opening_metathesis_1	[C+0:1]=@[C+0:2].[C+0:3]=!@[C+0:4]>>([*:1]=[*:3].[*:2]=[*:4])
ring_openening_metathesis_2	[C+0:1]=@[C+0:2].[C+0:3]=!@[C+0:4]>>([*:1]=[*:3].[*:2]=[*:3]).([*:1]=[*:4].[*:2]=[*:4])
alkene_epoxidation	[C+0:1]=[C+0:2].[O+0:3]=[O+0]>>[*:1]1[*:2][*:3]1
alkene_hydration_1	[C+0:1]=[C+0:2].[O+0!H0;!$(*-C=O):3]>>[*:1][*:2][*:3]
alkene_hydration_2	([C+0:1]=[C+0:2].[O+0!H0;!$(*-C=O):3])>>[*:1][*:2][*:3]
oxidation_to_diol	[C+0:1]=[C+0:2].[O+0:3]=[O+0:4].[O+0H2]>>[*:1]([*:3])[*:2][*:4]
claisen_rearrangement	[C+0:1]=[C+0:2][O,C;+0:3][C+0:4][C+0:5]=[C+0:6]>>[*:3]=[*:2][*:1][*:6][*:5]=[*:4]
aromatic_claisen_rearrangement	[c+0H:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0:5]:[c+0:6]:1-[O+0:7][C+0:8][C+0:9]=[C+0:10]>>[*:1]1([*:10][*:9]=[*:8]):[*:2]:[*:3]:[*:4]:[*:5]:[*:6]:1-[*:7]
aromatic_claisen_ortho_rearrangement	[c+0H0:1]1:[c+0:2]:[c+0:3]:[c+0:4]:[c+0H0:5]:[c+0:6]:1-[O+0:7][C+0:8][C+0:9]=[C+0:10]>>[*:1]1:[*:2]:[*:3]([*:8][*:9]=[*:10]):[*:4]:[*:5]:[*:6]:1-[*:7]
alkyne_hydration	[C+0:1]#[C+0:2].[O+0H2:3]>>[*:1]([*:3])=[*:2]
alkyne_oxidation_permaanganate	[C+0:1]#[C+0:2].[O+0:4]=[O+0:5]>>[*:1](=[*:4])[*:2]=[*:5]
alkyne_oxidative_cleavage_1	[*:6][C+0:1]#!@[C+0:2][*:7].[O+0H2:3].[O+0:4]=[O+0:5]>>[*:6][*:1](=[*:3])[*:4].[*:7][*:2](=[*:5])[O]
alkyne_oxidative_cleavage_2	[*:6][C+0:1]#@[C+0:2][*:7].[O+0H2:3].[O+0:4]=[O+0:5]>>([*:6][*:1](=[*:3])[*:4].[*:7][*:2](=[*:5])[O])
alkyne_oxidative_cleavage_3	[*:6][C+0:1]#[C+0H:2].[O+0:4]=[O+0:5]>>[*:6][*:1](=[*:4])[*:5].[O]=[*:2]=[O]
