,id,Metacyc_ID,SMILES,KEGG_ID
0,0,PROTON,[H+],
1,1,HYDROGEN-MOLECULE,[H],
2,2,CPD-23698,O,
3,3,CPD-15815,[O],
4,4,METHYL-GROUP,C,C01330
5,5,ACETYLENE,C#C,C01448
6,6,CARBON-MONOXIDE,[C-]#[O+],C00229
7,7,ETHYLENE-CMPD,C=C,C06259
8,8,FORMALDEHYDE,C=O,C00064
9,9,CPD-9312,CC,
10,10,SUPER-OXIDE,OO,
11,11,OXYGEN-MOLECULE,O=O,
12,12,METOH,CO,C00129
13,13,CPD-9315,C1=CC1,
14,14,CPD-19558,C#CC,
15,15,PROPENE,C=CC,C11221
16,16,CARBON-DIOXIDE,O=C=O,C00011
17,17,CPD-19003,C1CO1,C06260
18,18,ACETALD,CC=O,C00081
19,19,CPD-18984,CCC,C20691
20,20,CARBOXYL-GROUP,O=CO,C00053
21,21,ETOH,CCO,C00440
22,22,CPD-19034,O=[O+][O-],
23,23,CPD-19231,OCO,
24,24,CPD-15163,C#CC=O,C05692
25,25,CPD-18751,CC1=CC1,
26,26,BUTADIENE,C=CC=C,C15958
27,27,ACROLEIN,C=CC=O,C01367
28,28,CPD-19046,CC=CC,
29,29,CPD-19063,C=CCC,
30,30,CPD-19009,C=C(C)C,
31,31,CPD-8887,O=CC=O,C14180
32,32,CPD-19460,C1COC1,
33,33,ACETONE,CC(C)=O,C00200
34,34,ALLYL-ALCOHOL,C=CCO,C01860
35,35,S-12-EPOXYPROPANE,CC1CO1,C11222
36,36,CPD-665,CCC=O,C00451
37,37,CPD-18985,CCCC,C21265
38,38,CPD-19056,CC(C)C,
39,39,ACET,CC(=O)O,C00031
40,40,CO3,O=C(O)O,C00273
41,41,CPD-18959,COC=O,
42,42,GLYCOLALDEHYDE,O=CCO,C00257
43,43,PROPANOL,CCCO,C05686
44,44,ISO-PROPANOL,CC(C)O,C01712
45,45,CPD-20501,CC(O)O,
46,46,GLYCOL,OCCO,C01285
47,47,CPD-15491,c1ccoc1,C13895
48,48,CPD-9436,C=CC(=C)C,C16024
49,49,CPD-661,C#CC(=O)O,C00762
50,50,CPD-8847,C=CC(C)=O,C20608
51,51,CPD-23505,CC=CC=O,C18834
52,52,CPD-18987,O=C1CCC1,
53,53,CPD-24204,C=CCCC,
54,54,ACRYLATE,C=CC(=O)O,C00488
55,55,CPD-10807,C=C(O)C=O,
56,56,CPD-21542,O=CCC=O,C18894
57,57,METHYL-GLYOXAL,CC(=O)C=O,C00519
58,58,CPD-19064,CC1OC1C,
59,59,MEK,CCC(C)=O,C02656
60,60,BUTANAL,CCCC=O,C01312
61,61,CPD-13230,CC=CCO,
62,62,CPD-19062,C=CC(C)O,
63,63,CPD-19010,CC1(C)CO1,
64,64,CPD-24834,C1CCOC1,
65,65,CPD-7000,CC(C)C=O,
66,66,CPD-22869,CCC(C)C,
67,67,CPD-9285,CCCCC,
68,68,GLYOX,O=CC(=O)O,C00046
69,69,PROPIONATE,CCC(=O)O,C00158
70,70,ACETOL,CC(=O)CO,C04833
71,71,HYDROXYPROPANAL,O=CCCO,C00916
72,72,METHYL-ACETATE,COC(C)=O,C16914
73,73,CPD-358,CC(O)C=O,C00404
74,74,CPD-21445,OCC1CO1,C10660
75,75,CPD-18958,CCOC=O,
76,76,DIETHYLETHER,CCOCC,C12413
77,77,CPD-19012,CC(C)(C)O,C21264
78,78,CPD-19081,CCC(C)O,
79,79,ISOBUTANOL,CC(C)CO,C14441
80,80,BUTANOL,CCCCO,C05830
81,81,GLYCOLLATE,O=C(O)CO,C00155
82,82,2-METHOXYETHANOL,COCCO,
83,83,PROPANE-1-2-DIOL,CC(O)CO,C00550
84,84,CPD-347,OCCCO,C02272
85,85,BENZENE,c1ccccc1,C01306
86,86,CPD-15490,C1=COC=CC1,
87,87,CPD-15489,C1=CCOC=C1,
88,88,4-HYDROXY-2-BUTYNAL,O=CC#CCO,C02467
89,89,CPD-13228,CCC=CC=O,
90,90,CPD-13218,C=CC(=O)CC,
91,91,CYCLOPENTANONE,O=C1CCCC1,C00530
92,92,CPD-19028,C=CC1(C)CO1,C21248
93,93,CPD-16989,CC=CC(C)=O,
94,94,PRENAL,CC(C)=CC=O,C07006
95,95,CPD-8923,C1CCCCC1,C10971
96,96,CROTONATE,CC=CC(=O)O,C01648
97,97,VINYL-ACETATE,C=CCC(=O)O,
98,98,CPD-13859,C=C(C)C(=O)O,
99,99,2-BUTYNE-14-DIOL,OCC#CCO,C02320
100,100,CPD-20308,C1OC1C1CO1,
101,101,DIACETYL,CC(=O)C(C)=O,C00703
102,102,CPD-13220,CCC(=O)CC,
103,103,CPD-13229,CCC=CCO,
104,104,CPD0-1678,CC(C)(C)C=O,
105,105,CPD-9053,CCCCC=O,
106,106,CPD-13614,C=CC(C)(C)O,C21279
107,107,CPD-23528,C1CCOCC1,
108,108,CPD-25941,C=C(C)CCO,
109,109,PRENOL,CC(C)=CCO,C01292
110,110,CPD0-1307,CC(=O)C(C)C,
111,111,PENTAN-2-ONE,CCCC(C)=O,C01810
112,112,CYCLOPENTANOL,OC1CCCC1,C01874
113,113,METHYLBUT-CPD,CCC(C)C=O,C02074
114,114,CPD-7031,CC(C)CC=O,C07005
115,115,CPD-9288,CCCCCC,C10991
116,116,PYRUVATE,CC(=O)C(=O)O,C00022
117,117,CPD-1135,O=C(O)C=CO,C11791
118,118,MALONATE-S-ALD,O=CCC(=O)O,C00214
119,119,ISOBUTYRATE,CC(C)C(=O)O,C02447
120,120,BUTYRIC_ACID,CCCC(=O)O,C00238
121,121,OXALATE,O=C(O)C(=O)O,C00202
122,122,CPD-13555,O=CCCCO,
123,123,CPD-10353,CC(=O)C(C)O,C00438
124,124,ETHYLACETATE,CCOC(C)=O,C00807
125,125,CPD-15782,CCC(=O)OC,
126,126,CPD-18957,CCCOC=O,
127,127,CPD0-1682,C1COCCO1,C14172
128,128,CPD-19037,CC(C)(O)C=O,C21168
129,129,CPD-23750,CC(O)CC=O,
